dataelement,period,orgunit_id,total_consumption,average_consumption
cPlWFYbBacW.w77uMi1KzOH,202501,q7a1TH1APLe,1231,205
cPlWFYbBacW.w77uMi1KzOH,202410,qZlDGlfVWm0,3425,571
cPlWFYbBacW.w77uMi1KzOH,202409,qZqNL79w8Zg,79,13
cPlWFYbBacW.w77uMi1KzOH,202408,qb3sIWTdr3V,2737,456
cPlWFYbBacW.w77uMi1KzOH,202411,rc8sxMGpgpq,1092,182
cPlWFYbBacW.w77uMi1KzOH,202408,rd0gE7FLPsv,515,103
cPlWFYbBacW.w77uMi1KzOH,202501,rsNtXqATBzF,471,78
cPlWFYbBacW.w77uMi1KzOH,202410,sukHAdsaboL,558,93
cPlWFYbBacW.w77uMi1KzOH,202412,t5FJlG1FrLF,1270,212
cPlWFYbBacW.w77uMi1KzOH,202501,tlqVHieBeZo,408,68
cPlWFYbBacW.w77uMi1KzOH,202408,tpmeDcmWQWf,1948,325
cPlWFYbBacW.w77uMi1KzOH,202412,u5u0Bhybf8f,2094,419
cPlWFYbBacW.w77uMi1KzOH,202409,uGrCgcX6xGk,398,66
cPlWFYbBacW.w77uMi1KzOH,202409,ukwgBmzwpbF,488,81
cPlWFYbBacW.w77uMi1KzOH,202410,vgM5avR9tJs,432,72
cPlWFYbBacW.w77uMi1KzOH,202412,vpcUN6fhhfX,1423,237
cPlWFYbBacW.w77uMi1KzOH,202411,vqZ76KANEWN,718,359
cPlWFYbBacW.w77uMi1KzOH,202409,vxKshylcIW5,1081,180
cPlWFYbBacW.w77uMi1KzOH,202501,wPsUQXK6ynT,780,130
cPlWFYbBacW.w77uMi1KzOH,202501,wmUX4Xf6mHU,367,61
cPlWFYbBacW.w77uMi1KzOH,202412,wwBB7XKIgr8,1738,290
cPlWFYbBacW.w77uMi1KzOH,202408,xGgOmhpqPod,406,81
cPlWFYbBacW.w77uMi1KzOH,202411,yFrzItHccVH,476,79
cPlWFYbBacW.w77uMi1KzOH,202409,zQJT13CmpDX,219,44
cPlWFYbBacW.w77uMi1KzOH,202501,zVNsz4bH1Yw,311,52
