dataelement,period,orgunit_id,total_consumption,average_consumption
cPlWFYbBacW.w77uMi1KzOH,202501,qb3sIWTdr3V,636,636
cPlWFYbBacW.w77uMi1KzOH,202501,rc8sxMGpgpq,136,136
cPlWFYbBacW.w77uMi1KzOH,202501,rd0gE7FLPsv,149,149
cPlWFYbBacW.w77uMi1KzOH,202501,rsNtXqATBzF,76,76
cPlWFYbBacW.w77uMi1KzOH,202501,sukHAdsaboL,126,126
cPlWFYbBacW.w77uMi1KzOH,202501,t5FJlG1FrLF,348,348
cPlWFYbBacW.w77uMi1KzOH,202501,tlqVHieBeZo,27,27
cPlWFYbBacW.w77uMi1KzOH,202501,tpmeDcmWQWf,293,293
cPlWFYbBacW.w77uMi1KzOH,202501,u5u0Bhybf8f,385,385
cPlWFYbBacW.w77uMi1KzOH,202501,uGrCgcX6xGk,75,75
cPlWFYbBacW.w77uMi1KzOH,202501,ukwgBmzwpbF,126,126
cPlWFYbBacW.w77uMi1KzOH,202501,vgM5avR9tJs,53,53
cPlWFYbBacW.w77uMi1KzOH,202501,vpcUN6fhhfX,220,220
cPlWFYbBacW.w77uMi1KzOH,202501,vxKshylcIW5,270,270
cPlWFYbBacW.w77uMi1KzOH,202501,wPsUQXK6ynT,135,135
cPlWFYbBacW.w77uMi1KzOH,202501,wmUX4Xf6mHU,6,6
cPlWFYbBacW.w77uMi1KzOH,202501,wwBB7XKIgr8,179,179
cPlWFYbBacW.w77uMi1KzOH,202501,yFrzItHccVH,97,97
cPlWFYbBacW.w77uMi1KzOH,202501,zQJT13CmpDX,53,53
cPlWFYbBacW.w77uMi1KzOH,202501,zVNsz4bH1Yw,68,68
